Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"775937000","2067300","3292","5462.3"
"777017000","2067300","3291","5470.8"
"778096000","2135700","3291","5477.9"
"779181000","2135700","3291","5486.4"
"780516000","2135700","3292","5494.8"
"781595000","2135700","3290","5501.9"
"782674000","2135700","3291","5510.4"
"783753000","2135700","3291","5517.4"
"784832000","2135700","3290","5524.5"
"786167000","2121100","3291","5534.4"
"787247000","2121100","3290","5541.4"
"788326000","2121100","3291","5549.9"
"789412000","2121100","3291","5557.0"
"790491000","2121100","3290","5564.0"
"791825000","2121100","3290","5573.9"
"792904000","2121100","3291","5581.0"
"793985000","2134800","3291","5589.4"
"795064000","2134800","3291","5596.5"
"796144000","2134800","3292","5603.6"
"797480000","2134800","3292","5613.4"
"798564000","2134800","3291","5620.5"
"799643000","2134800","3291","5629.0"
"800724000","2134800","3292","5636.0"
"801801000","2080200","3291","5643.1"
"803137000","2080200","3292","5653.0"
"804216000","2080200","3291","5660.0"
"805295000","2080200","3291","5668.5"
"806375000","2080200","3291","5675.6"
"807454000","2080200","3291","5684.1"
"808795000","2080200","3291","5692.5"
"809873000","2174100","3291","5701.0"
"810952000","2174100","3291","5708.1"
"812032000","2174100","3291","5715.1"
"813112000","2174100","3291","5723.6"
"814446000","2174100","3290","5732.1"
"815530000","2174100","3291","5739.1"
"816609000","2174100","3291","5747.6"
"817688000","2080600","3291","5754.7"
"818773000","2080600","3291","5761.7"
"820109000","2080600","3292","5771.6"
"821188000","2080600","3292","5778.7"
"822267000","2080600","3292","5787.1"
"823347000","2080600","3292","5794.2"
"824427000","2080600","3293","5801.3"
"825762000","2120200","3292","5811.2"
"826841000","2120200","3292","5818.2"
"827920000","2120200","3292","5826.7"
"829005000","2120200","3292","5833.7"
"830085000","2120200","3293","5840.8"
"831421000","2120200","3293","5850.7"
"832500000","2120200","3292","5857.8"
"833580000","2134800","3293","5866.2"
"834659000","2134800","3293","5873.3"
"835738000","2134800","3292","5880.3"
"837072000","2134800","3293","5890.2"
"838152000","2134800","3293","5897.3"
"839238000","2134800","3293","5905.8"
"840317000","2134800","3293","5912.8"
"841397000","2080000","3294","5919.9"
"842731000","2080000","3293","5929.8"
"843809000","2080000","3293","5936.8"
"844888000","2080000","3293","5945.3"
"845967000","2080000","3293","5952.4"
"847045000","2080000","3293","5959.4"
"848379000","2080000","3294","5969.3"
"849463000","2122200","3292","5976.4"
"850542000","2122200","3292","5984.9"
"851622000","2122200","3293","5991.9"
"852701000","2122200","3292","5999.0"
"854036000","2122200","3292","6008.9"
"855116000","2122200","3292","6015.9"
"856196000","2122200","3292","6024.4"
"857279000","2135400","3292","6031.5"
"858359000","2135400","3292","6038.5"
"859698000","2135400","3292","6048.4"
"860777000","2135400","3293","6055.5"
"861856000","2135400","3293","6063.9"
"862937000","2135400","3293","6071.0"
"864016000","2135400","3293","6079.5"
"865352000","2120400","3293","6087.9"
"866431000","2120400","3292","6095.0"
"867510000","2120400","3293","6103.5"
"868595000","2120400","3293","6110.5"
"869675000","2120400","3294","6117.6"
"871010000","2120400","3294","6127.5"
"872090000","2120400","3293","6134.5"
"873170000","2135000","3293","6143.0"
"874249000","2135000","3293","6150.1"
"875328000","2135000","3293","6158.6"
"876662000","2135000","3293","6167.0"
"877741000","2135000","3294","6175.5"
"878827000","2135000","3293","6182.6"
"879906000","2135000","3293","6189.6"
"880985000","2135700","3293","6198.1"
